식사시간,지역,세부지역,성별,연령대,결혼유무,자녀유무,거주유무,결제업종,총결제금액,결제개수,기온,강수량,적설량,전운량,날씨_구름,날씨_비,날씨_눈
3,전라북도,전주시완산구,0.0,0.4,0.0,0.0,1.0,중식,0.4058373870743572,0.5663716814159292,0.4491017964071856,0.0,1.0,0.5,1,0,0
3,전라북도,전주시완산구,0.0,0.4,0.0,0.0,1.0,중식,0.4058373870743572,0.5663716814159292,0.41916167664670656,0.0,1.0,0.7000000000000001,0,0,0
3,전라북도,전주시완산구,0.0,0.4,0.0,0.0,1.0,중식,0.4058373870743572,0.5663716814159292,0.3712574850299401,0.0,1.0,0.9,3,0,0
2,전라북도,전주시완산구,0.0,1.0,0.0,0.0,1.0,중식,0.07991660875608061,0.07964601769911504,0.3652694610778443,0.0,1.0,0.0,2,0,0
2,전라북도,전주시덕진구,1.0,0.6,0.0,0.0,0.0,중식,0.49791521890201523,0.5929203539823008,0.3652694610778443,0.0,1.0,0.0,2,0,0
2,전라북도,전주시완산구,0.0,1.0,0.0,0.0,1.0,중식,0.07991660875608061,0.07964601769911504,0.3712574850299401,0.0,1.0,0.8,0,0,0
2,전라북도,전주시덕진구,1.0,0.6,0.0,0.0,0.0,중식,0.49791521890201523,0.5929203539823008,0.3712574850299401,0.0,1.0,0.8,0,0,0
2,전라북도,전주시완산구,0.0,1.0,0.0,0.0,1.0,중식,0.07991660875608061,0.07964601769911504,0.3712574850299401,0.0,1.0,0.9,3,0,0
2,전라북도,전주시덕진구,1.0,0.6,0.0,0.0,0.0,중식,0.49791521890201523,0.5929203539823008,0.3712574850299401,0.0,1.0,0.9,3,0,0
2,전라북도,전주시완산구,0.0,1.0,0.0,0.0,1.0,중식,0.07991660875608061,0.07964601769911504,0.34131736526946105,0.0,1.0,0.8,0,0,0
2,전라북도,전주시덕진구,1.0,0.6,0.0,0.0,0.0,중식,0.49791521890201523,0.5929203539823008,0.34131736526946105,0.0,1.0,0.8,0,0,0
3,전라북도,전주시덕진구,0.0,0.4,0.0,0.0,1.0,중식,0.4117442668519805,0.39823008849557523,0.6467065868263473,0.0,1.0,0.1,2,0,0
3,전라북도,전주시덕진구,0.0,0.4,0.0,0.0,1.0,중식,0.4117442668519805,0.39823008849557523,0.6107784431137724,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,0.0,0.4,0.0,0.0,1.0,중식,0.4117442668519805,0.39823008849557523,0.5928143712574849,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,0.0,0.4,0.0,0.0,1.0,중식,0.4117442668519805,0.39823008849557523,0.5269461077844311,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,0.0,0.4,0.0,0.0,1.0,중식,0.4117442668519805,0.39823008849557523,0.43712574850299396,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,0.0,0.4,0.0,0.0,1.0,중식,0.4117442668519805,0.39823008849557523,0.3652694610778443,0.0,1.0,0.1,2,0,0
3,전라북도,전주시완산구,0.0,0.4,0.0,0.0,1.0,중식,0.7553856845031273,0.39823008849557523,0.3892215568862275,0.0,1.0,0.9,3,0,0
3,전라북도,전주시완산구,1.0,0.8000000000000002,0.0,0.0,1.0,중식,0.09103544127866574,0.1504424778761062,0.3892215568862275,0.0,1.0,0.9,3,0,0
3,전라북도,전주시완산구,0.0,0.4,0.0,0.0,1.0,중식,0.7553856845031273,0.39823008849557523,0.3832335329341317,0.0,1.0,0.9,3,0,0
3,전라북도,전주시완산구,1.0,0.8000000000000002,0.0,0.0,1.0,중식,0.09103544127866574,0.1504424778761062,0.3832335329341317,0.0,1.0,0.9,3,0,0
3,전라북도,전주시완산구,0.0,0.4,0.0,0.0,1.0,중식,0.7553856845031273,0.39823008849557523,0.2934131736526946,0.0,1.0,0.9,3,0,0
3,전라북도,전주시완산구,1.0,0.8000000000000002,0.0,0.0,1.0,중식,0.09103544127866574,0.1504424778761062,0.2934131736526946,0.0,1.0,0.9,3,0,0
3,전라북도,전주시완산구,0.0,0.4,0.0,0.0,1.0,중식,0.7553856845031273,0.39823008849557523,0.3053892215568862,0.25,0.3333333333333333,0.8,0,0,0
3,전라북도,전주시완산구,1.0,0.8000000000000002,0.0,0.0,1.0,중식,0.09103544127866574,0.1504424778761062,0.3053892215568862,0.25,0.3333333333333333,0.8,0,0,0
3,전라북도,전주시완산구,0.0,0.4,0.0,0.0,1.0,중식,0.7553856845031273,0.39823008849557523,0.281437125748503,0.0,1.0,1.0,3,0,0
3,전라북도,전주시완산구,1.0,0.8000000000000002,0.0,0.0,1.0,중식,0.09103544127866574,0.1504424778761062,0.281437125748503,0.0,1.0,1.0,3,0,0
3,전라북도,전주시완산구,0.0,0.4,0.0,0.0,1.0,중식,0.7553856845031273,0.39823008849557523,0.2395209580838323,0.0,1.0,0.7000000000000001,0,0,0
3,전라북도,전주시완산구,1.0,0.8000000000000002,0.0,0.0,1.0,중식,0.09103544127866574,0.1504424778761062,0.2395209580838323,0.0,1.0,0.7000000000000001,0,0,0
3,전라북도,전주시완산구,1.0,0.6,0.0,0.0,1.0,중식,0.9763724808895067,0.6194690265486725,0.5329341317365269,0.0,1.0,0.8,0,0,0
3,전라북도,전주시완산구,1.0,0.6,0.0,0.0,1.0,중식,0.9763724808895067,0.6194690265486725,0.5389221556886227,0.0,1.0,0.9,3,0,0
3,전라북도,전주시완산구,1.0,0.6,0.0,0.0,1.0,중식,0.9763724808895067,0.6194690265486725,0.49101796407185627,0.0,1.0,0.2,2,0,0
3,전라북도,전주시완산구,1.0,0.6,0.0,0.0,1.0,중식,0.9763724808895067,0.6194690265486725,0.4550898203592814,0.0,1.0,0.2,2,0,0
3,전라북도,전주시완산구,1.0,0.6,0.0,0.0,1.0,중식,0.9763724808895067,0.6194690265486725,0.41317365269461076,0.0,1.0,0.0,2,0,0
